date,1. open,2. high,3. low,4. close,5. volume
2021-10-25 20:00:00,1024.4,1030.4,1022.55,1030.0,109966.0
2021-10-25 19:00:00,1018.0,1024.98,1018.0,1024.6,69514.0
2021-10-25 18:00:00,1027.27,1029.5,1017.02,1018.13,120912.0
2021-10-25 17:00:00,1024.86,1033.75,1024.86,1027.17,617351.0
2021-10-25 16:00:00,1021.01,1030.69,953.0,1024.86,7972107.0
2021-10-25 15:00:00,995.9601,1045.02,995.04,1021.01,15168991.0
2021-10-25 14:00:00,990.22,997.7,987.17,996.1599,4183575.0
2021-10-25 13:00:00,974.66,998.7399,971.5716,990.25,8617563.0
2021-10-25 12:00:00,972.75,975.3399,960.2301,974.6699,5192164.0
2021-10-25 11:00:00,953.0,979.8,944.2,972.75,9643240.0
2021-10-25 10:00:00,949.1,970.84,944.8,953.0001,9141170.0
2021-10-25 09:00:00,939.248,953.19,928.0,949.0,495163.0
2021-10-25 08:00:00,931.8,953.0,928.0,948.0,681904.0
2021-10-25 07:00:00,931.69,934.38,930.5,932.0,73697.0
2021-10-25 06:00:00,921.8,932.0,921.8,931.75,111286.0
2021-10-25 05:00:00,913.98,921.82,910.01,921.59,53740.0
2021-10-22 20:00:00,908.98,909.25,908.45,909.25,27488.0
2021-10-22 19:00:00,909.6,909.6,908.75,908.99,13392.0
2021-10-22 18:00:00,909.99,909.99,908.63,909.6,24598.0
2021-10-22 17:00:00,909.68,910.22,909.58,909.9,526071.0
2021-10-22 16:00:00,904.85,910.0,903.5401,909.5,3187972.0
2021-10-22 15:00:00,905.6127,908.63,903.57,904.92,1979350.0
2021-10-22 14:00:00,903.79,906.75,903.132,905.655,1334690.0
2021-10-22 13:00:00,902.35,907.88,900.6156,903.77,2018272.0
2021-10-22 12:00:00,905.1622,907.52,897.15,902.37,3210829.0
2021-10-22 11:00:00,904.84,910.0,903.7,905.08,4426449.0
2021-10-22 10:00:00,895.8,905.3,890.96,905.0,5232814.0
2021-10-22 09:00:00,897.0,898.88,895.22,896.0,127917.0
2021-10-22 08:00:00,898.41,898.8,895.22,896.0,58209.0
2021-10-22 07:00:00,896.66,899.0,896.61,898.8,10820.0
2021-10-22 06:00:00,898.7,899.4,896.98,896.98,8601.0
2021-10-22 05:00:00,891.5,899.7,891.5,898.0,40713.0
2021-10-21 20:00:00,890.65,891.5,888.05,888.88,57647.0
2021-10-21 19:00:00,890.0,890.98,889.5001,890.9,26006.0
2021-10-21 18:00:00,891.5,891.75,889.8,890.0,42175.0
2021-10-21 17:00:00,894.0,895.25,888.0,891.49,315150.0
2021-10-21 16:00:00,894.3499,895.8,891.67,893.6,3271524.0
2021-10-21 15:00:00,889.89,895.0,889.49,894.35,2023150.0
2021-10-21 14:00:00,894.26,894.5,889.1,889.8657,1937407.0
2021-10-21 13:00:00,891.8899,896.25,888.72,894.4499,2581348.0
2021-10-21 12:00:00,897.64,898.77,888.15,891.5801,4329152.0
2021-10-21 11:00:00,881.79,900.0,881.62,897.505,8623987.0
2021-10-21 10:00:00,853.97,888.5,853.52,881.9899,7434026.0
2021-10-21 09:00:00,856.0001,856.5,850.3,854.0,196814.0
2021-10-21 08:00:00,856.01,856.5,852.23,852.23,72009.0
2021-10-21 07:00:00,857.74,857.74,855.32,856.5,8800.0
2021-10-21 06:00:00,859.64,859.86,856.8,856.8,8055.0
2021-10-21 05:00:00,856.59,859.6,853.33,859.1,35691.0
2021-10-20 20:00:00,855.06,855.15,851.59,851.8,149195.0
2021-10-20 19:00:00,859.2,860.75,855.0,855.0,117440.0
2021-10-20 18:00:00,860.06,864.94,857.99,859.01,345741.0
2021-10-20 17:00:00,865.8,875.4,853.0,860.0,1454511.0
2021-10-20 16:00:00,866.34,866.3999,862.86,865.79,2401599.0
2021-10-20 15:00:00,866.29,867.4899,864.51,866.27,1135410.0
2021-10-20 14:00:00,866.62,867.0,861.05,866.39,1540268.0
2021-10-20 13:00:00,868.09,868.15,865.07,866.615,756530.0
2021-10-20 12:00:00,864.19,868.24,863.52,867.9775,1207323.0
2021-10-20 11:00:00,862.16,869.49,860.601,864.057,2330760.0
2021-10-20 10:00:00,866.9,866.9,857.38,862.16,2187085.0
2021-10-20 09:00:00,863.2998,867.0,862.11,866.2517,91172.0
2021-10-20 08:00:00,862.13,864.69,862.12,863.0,49083.0
2021-10-20 07:00:00,862.89,862.89,860.37,861.99,4601.0
2021-10-20 06:00:00,860.55,862.4,858.5,862.4,13115.0
2021-10-20 05:00:00,860.12,864.49,860.02,860.85,19401.0
2021-10-19 20:00:00,865.19,865.28,862.66,862.66,35269.0
2021-10-19 19:00:00,865.7,865.89,865.0,865.2,19304.0
2021-10-19 18:00:00,865.5,865.99,865.0,865.75,39782.0
2021-10-19 17:00:00,864.27,866.4,863.03,865.5,423103.0
2021-10-19 16:00:00,869.47,870.6642,862.7499,864.16,2439420.0
2021-10-19 15:00:00,874.5,874.64,868.09,869.54,1417934.0
2021-10-19 14:00:00,871.7481,875.97,871.65,874.53,1559969.0
2021-10-19 13:00:00,870.7,873.619,869.75,871.71,1610608.0
2021-10-19 12:00:00,870.269,871.5,866.88,870.549,1803923.0
2021-10-19 11:00:00,864.65,871.5499,862.51,870.28,3637669.0
2021-10-19 10:00:00,876.56,878.5,864.61,864.62,3767628.0
2021-10-19 09:00:00,877.85,878.5,867.935,876.5,183703.0
2021-10-19 08:00:00,878.3,878.5,876.31,877.7,113650.0
2021-10-19 07:00:00,878.0,878.5,877.7,878.5,11976.0
2021-10-19 06:00:00,878.6,880.0,877.99,878.5,17854.0
2021-10-19 05:00:00,874.7,879.0,874.7,879.0,36496.0
2021-10-18 20:00:00,871.93,872.24,871.52,872.0,31529.0
2021-10-18 19:00:00,872.35,872.7,871.02,871.88,28699.0
2021-10-18 18:00:00,872.3,872.49,870.11,872.35,843871.0
2021-10-18 17:00:00,870.11,872.96,869.5601,872.3,424292.0
2021-10-18 16:00:00,872.59,873.68,867.5,870.11,3180038.0
2021-10-18 15:00:00,872.77,874.8899,870.54,872.535,2216282.0
2021-10-18 14:00:00,863.465,875.26,861.9001,872.84,3674441.0
2021-10-18 13:00:00,859.84,865.5,859.7201,863.44,2018493.0
2021-10-18 12:00:00,862.17,862.31,858.84,859.8314,2350719.0
2021-10-18 11:00:00,860.38,864.62,858.7,862.24,3390121.0
2021-10-18 10:00:00,850.57,862.91,849.61,860.38,4629253.0
2021-10-18 09:00:00,851.81,853.0,840.923,850.61,220994.0
2021-10-18 08:00:00,848.44,853.0,847.8,851.74,221221.0
2021-10-18 07:00:00,847.11,848.8,846.01,848.0,23485.0
2021-10-18 06:00:00,846.1,847.51,846.1,847.06,10934.0
2021-10-18 05:00:00,843.45,848.0,843.45,846.43,34809.0
2021-10-15 20:00:00,849.4,849.79,849.0,849.0,53402.0
2021-10-15 19:00:00,846.4999,849.68,846.25,849.63,65774.0
2021-10-15 18:00:00,845.03,846.85,844.8,846.0,68001.0
2021-10-15 17:00:00,843.03,845.5,842.4,845.02,350477.0
2021-10-15 16:00:00,834.1514,843.21,834.14,843.07,4599480.0
2021-10-15 15:00:00,832.8601,834.35,831.55,834.17,1165308.0
2021-10-15 14:00:00,832.5999,834.47,832.0,832.984,1065005.0
2021-10-15 13:00:00,833.61,834.16,831.32,832.51,1422944.0
2021-10-15 12:00:00,832.9,835.6,831.4,833.4538,2976539.0
2021-10-15 11:00:00,827.1,833.2299,824.43,832.865,3543579.0
2021-10-15 10:00:00,821.47,828.32,821.0,827.0583,2996900.0
2021-10-15 09:00:00,821.9855,822.49,816.275,821.5,57303.0
2021-10-15 08:00:00,821.25,822.49,821.11,821.85,49557.0
2021-10-15 07:00:00,821.41,821.41,821.0,821.0,1610.0
2021-10-15 06:00:00,822.01,822.01,821.0,821.1,6528.0
